-5	398151.71
-4.5	413104.27
-4	430474.6
-3.5	448590.02
-3	469147.01
-2.5	494027.71
-2	516741.63
-1.5	545358.65
-1	570640.18
-0.5	595965.42
0	616577.22
0.5	637091.81
1	651133.5
1.5	644236.76
2	630487.8
2.5	610029.5
3	584180.79
3.5	566575.34
4	551466.67
4.5	538541.67
5	519597.99
