-1.000000E-2	 -7.646866E-6	 2.921784E-4
-9.800000E-3	 -7.492129E-6	 3.574804E-4
-9.600000E-3	 -7.341111E-6	 2.365028E-4
-9.400000E-3	 -7.186137E-6	 2.668075E-4
-9.200000E-3	 -7.034372E-6	 2.790626E-4
-9.000000E-3	 -6.880949E-6	 2.861538E-4
-8.800000E-3	 -6.727445E-6	 3.226993E-4
-8.599999E-3	 -6.573995E-6	 2.918922E-4
-8.400000E-3	 -6.419783E-6	 2.965179E-4
-8.200000E-3	 -6.266152E-6	 2.887085E-4
-7.999999E-3	 -6.111845E-6	 2.939856E-4
-7.800000E-3	 -5.958002E-6	 2.884820E-4
-7.600000E-3	 -5.805994E-6	 2.842291E-4
-7.400000E-3	 -5.653280E-6	 2.981159E-4
-7.200000E-3	 -5.499603E-6	 2.845781E-4
-7.000000E-3	 -5.345648E-6	 2.966638E-4
-6.800000E-3	 -5.193281E-6	 2.822155E-4
-6.600000E-3	 -5.038941E-6	 2.594507E-4
-6.400000E-3	 -4.885898E-6	 2.847075E-4
-6.200000E-3	 -4.731413E-6	 -1.882870E-5
-6.000000E-3	 -4.578882E-6	 4.686945E-4
-5.800000E-3	 -4.423592E-6	 2.692569E-4
-5.600000E-3	 -4.271337E-6	 3.240347E-4
-5.400000E-3	 -4.116814E-6	 2.782705E-4
-5.200000E-3	 -3.964269E-6	 3.014048E-4
-5.000000E-3	 -3.811416E-6	 2.692180E-4
-4.800000E-3	 -3.657773E-6	 2.580706E-4
-4.600000E-3	 -3.503183E-6	 2.605359E-4
-4.400000E-3	 -3.350378E-6	 2.978901E-4
-4.200000E-3	 -3.199978E-6	 2.752788E-4
-4.000000E-3	 -3.046069E-6	 2.982444E-4
-3.800000E-3	 -2.893772E-6	 3.062398E-4
-3.600000E-3	 -2.743956E-6	 3.834526E-4
-3.400000E-3	 -2.590859E-6	 8.291292E-5
-3.200000E-3	 -2.433835E-6	 2.308986E-4
-3.000000E-3	 -2.282909E-6	 3.362372E-4
-2.800000E-3	 -2.127514E-6	 1.423865E-4
-2.600000E-3	 -1.974294E-6	 2.079602E-4
-2.400000E-3	 -1.820223E-6	 4.004488E-4
